Cleanup ID,Zone,State,Country,GPS,Cleanup Type,Cleanup Date,Group Name,Adults,Children,People,Pounds,Miles,# of bags,Cigarette Butts,"Food Wrappers (candy, chips, etc.)",Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),"Straws, Stirrers","Forks, Knives, Spoons",Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans,Grocery Bags (Plastic),Other Plastic Bags,Paper Bags,"Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps",Fishing Net & Pieces,Fishing Line (1 yard/meter = 1 piece),Rope (1 yard/meter = 1 piece),Fishing Gear (Clean Swell),6-Pack Holders,Other Plastic/Foam Packaging,"Other Plastic Bottles (oil, bleach, etc.)",Strapping Bands,Tobacco Packaging/Wrap,Other Packaging (Clean Swell),"Appliances (refrigerators, washers, etc.)",Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Toys,Other Trash (Clean Swell),Condoms,Diapers,Syringes,Tampons/Tampon Applicators,Personal Hygiene (Clean Swell),Foam Pieces,Glass Pieces,Plastic Pieces,Total Items Collected
1151,"San Diego County, CA, USA","California, USA",United States,"32.7611, -117.25191","Land (beach, shoreline and inland)",11/2/15,,1,0,1,21.87,2.6239,0,10,46,2,2,9,0,2,4,4,13,2,7,4,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,2,0,5,0,0,0,0,0,15,59,0,0,0,0,4,0,0,32,238
1170,"San Diego County, CA, USA","California, USA",United States,"32.76207, -117.25224","Land (beach, shoreline and inland)",11/3/15,,1,0,1,16.59,2.3796,0,12,36,5,3,21,0,3,9,4,6,0,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,2,0,17,0,0,0,0,0,6,67,0,0,0,0,9,0,0,52,262
1171,"San Diego County, CA, USA","California, USA",United States,"32.76207, -117.25224","Land (beach, shoreline and inland)",11/3/15,,1,0,1,16.59,2.3796,0,12,36,5,3,21,0,3,9,4,6,0,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,2,0,17,0,0,0,0,0,6,67,0,0,0,0,9,0,0,52,262
1175,"San Diego County, CA, USA","California, USA",United States,"32.76152, -117.25109","Land (beach, shoreline and inland)",11/6/15,,1,0,1,17.32,4.2953,0,37,41,2,1,25,0,6,10,4,2,1,4,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,0,16,0,0,0,0,0,4,67,0,0,0,0,1,0,0,52,288
1176,"San Diego County, CA, USA","California, USA",United States,"32.76152, -117.25109","Land (beach, shoreline and inland)",11/6/15,,1,0,1,17.32,4.2953,0,37,41,2,1,25,0,6,10,4,2,1,4,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,0,16,0,0,0,0,0,4,67,0,0,0,0,1,0,0,52,288
1177,"San Diego County, CA, USA","California, USA",United States,"32.76152, -117.25109","Land (beach, shoreline and inland)",11/6/15,,1,0,1,17.32,4.2953,0,37,41,2,1,25,0,6,10,4,2,1,4,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,0,16,0,0,0,0,0,4,67,0,0,0,0,1,0,0,52,288
1180,"San Diego County, CA, USA","California, USA",United States,"32.76155, -117.25083","Land (beach, shoreline and inland)",11/8/15,,1,0,1,23.13,3.0076,0,19,37,3,4,25,0,3,17,1,10,3,8,8,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,10,105,0,0,0,0,5,0,0,45,318
1181,"Monterey County, CA, USA","California, USA",United States,"36.61867, -121.90226","Land (beach, shoreline and inland)",11/7/15,,1,0,1,0.23,0.0116,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1182,"Monterey County, CA, USA","California, USA",United States,"36.61867, -121.90226","Land (beach, shoreline and inland)",11/7/15,,1,0,1,0.23,0.0116,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1183,"Monterey County, CA, USA","California, USA",United States,"36.61872, -121.90214","Land (beach, shoreline and inland)",11/7/15,,1,0,1,0.02,0.0649,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
